# Track list imported from the Spotify playlist "The Panda's Melody".
# Columns: title <TAB> artist <TAB> pinyin title <TAB> english title <TAB> level
# Duplicates in the source playlist have been collapsed.
# Every track here is contemporary and in copyright, so entries carry
# rights: copyrighted — a listening link, notes and vocabulary, never lyrics.
身后	space x	Shēnhòu	Behind Me	intermediate
需要人陪	Leehom Wang 王力宏	Xūyào Rén Péi	Need Company	intermediate
你讓我	李浩瑋 Howard Lee	Nǐ Ràng Wǒ	You Make Me	intermediate
蝴蝶	Patrick Brasca 派偉俊	Húdié	Butterfly	intermediate
依然愛你	Leehom Wang 王力宏	Yīrán Ài Nǐ	Still In Love With You	intermediate
年少有為	Ronghao Li 李榮浩	Niánshào Yǒuwéi	Young and Accomplished	advanced
以後別做朋友	Eric Chou 周興哲	Yǐhòu Bié Zuò Péngyǒu	Let's Not Be Friends Anymore	intermediate
Good Night	Ghost 王琳凯	—	Good Night	beginner
續寫	單依純	Xùxiě	Continue Writing	intermediate
修煉愛情	JJ Lin 林俊傑	Xiūliàn Àiqíng	Practising Love	advanced
告白氣球	Jay Chou 周杰倫	Gàobái Qìqiú	Love Confession	beginner
突然好想你	Mayday 五月天	Túrán Hǎo Xiǎng Nǐ	Suddenly Missing You So Badly	intermediate
永不失聯的愛	Eric Chou 周興哲	Yǒng Bù Shīlián de Ài	Never Losing Touch	intermediate
一路向北	Jay Chou 周杰倫	Yīlù Xiàng Běi	All the Way North	intermediate
花雨落	Ren Ran 任然	Huā Yǔ Luò	Flower Rain Falls	intermediate
孤单心事	颜人中	Gūdān Xīnshì	Lonely Thoughts	intermediate
Missing U	Gen Neo 梁根赫, 汪小敏	—	Missing U	intermediate
從今以後	Gen Neo 梁根赫	Cóngjīn Yǐhòu	From Now On	intermediate
Over You	Gen Neo 梁根赫	—	Over You	intermediate
愛了很久的朋友	Hebe Tien 田馥甄	Ài Le Hěn Jiǔ de Péngyǒu	A Friend I Loved a Long Time	intermediate
